participant,tone,tone_onset,loop.thisN,key_resp_5.keys,key_resp_5.rt,mouseClick_5.clicked_name,thisA,thisB,thisC,typePrompt,cor,snr,env,CRMcorrect,CRMhit,hit,miss,cr,fa
19,stimuli/tones/silence.wav,1.25,193,noResp,NA,W_2,stimuli/Baron6dB/070201.wav,stimuli/Laker/020003.wav,stimuli/Ringo/010103.wav,NA,1,silence,silence,W_2,1,0,0,1,0
19,stimuli/tones/silence.wav,1.25,194,noResp,NA,B_4,stimuli/Baron6dB/070003.wav,stimuli/Laker/020203.wav,stimuli/Eagle/060200.wav,NA,1,silence,silence,B_4,1,0,0,1,0
19,stimuli/tones/silence.wav,2,195,noResp,NA,W_1,stimuli/Baron6dB/070200.wav,stimuli/Arrow/040201.wav,stimuli/Laker/020100.wav,NA,1,silence,silence,W_1,1,0,0,1,0
19,stimuli/tones/silence.wav,1.25,196,noResp,NA,G_4,stimuli/Baron6dB/070303.wav,stimuli/Arrow/040203.wav,stimuli/Laker/020000.wav,NA,1,silence,silence,G_4,1,0,0,1,0
19,stimuli/tones/FlatIEC-24dB.wav,0.75,197,space,1.995,W_4,stimuli/Baron6dB/070203.wav,stimuli/Laker/020300.wav,stimuli/Eagle/060303.wav,NA,1,-24dB,Flat,W_4,1,1,0,0,0
19,stimuli/tones/silence.wav,0.75,198,noResp,NA,R_4,stimuli/Baron6dB/070103.wav,stimuli/Charlie/000201.wav,stimuli/Charlie/000002.wav,NA,1,silence,silence,R_4,1,0,0,1,0
19,stimuli/tones/PercTri-33dB.wav,1.25,199,space,1.9004,B_3,stimuli/Baron6dB/070300.wav,stimuli/Arrow/040001.wav,stimuli/Hopper/030303.wav,NA,1,-33dB,PercTri,G_1,0,1,0,0,0
19,stimuli/tones/silence.wav,0.75,200,noResp,NA,R_2,stimuli/Baron6dB/070101.wav,stimuli/Laker/020003.wav,stimuli/Charlie/000203.wav,NA,1,silence,silence,R_2,1,0,0,1,0
19,stimuli/tones/PercTri-30dB.wav,2,201,noResp,NA,R_3,stimuli/Baron6dB/070102.wav,stimuli/Charlie/000203.wav,stimuli/Ringo/010100.wav,NA,0,-30dB,PercTri,R_3,1,0,1,0,0
19,stimuli/tones/FlatIEC-18dB.wav,2,202,space,2.8444,B_1,stimuli/Baron6dB/070000.wav,stimuli/Eagle/060202.wav,stimuli/Hopper/030200.wav,NA,1,-18dB,Flat,B_1,1,1,0,0,0
