participant,tone,tone_onset,loop.thisN,key_resp_5.keys,key_resp_5.rt,mouseClick_5.clicked_name,thisA,thisB,thisC,typePrompt,cor,snr,env,CRMcorrect,CRMhit,hit,miss,cr,fa
F2024_19,stimuli/tones/FlatIEC-27dB.wav,0.75,35,noResp,NA,G_3,stimuli/Baron6dB/070302.wav,stimuli/Tiger/050102.wav,stimuli/Laker/020001.wav,NA,0,-27dB,Flat,G_3,1,0,1,0,0
F2024_19,stimuli/tones/silence.wav,0.75,36,noResp,NA,G_1,stimuli/Baron6dB/070300.wav,stimuli/Charlie/000103.wav,stimuli/Hopper/030200.wav,NA,1,silence,silence,G_1,1,0,0,1,0
F2024_19,stimuli/tones/FlatIEC-18dB.wav,0.75,37,noResp,NA,B_4,stimuli/Baron6dB/070003.wav,stimuli/Tiger/050301.wav,stimuli/Arrow/040100.wav,NA,0,-18dB,Flat,B_4,1,0,1,0,0
F2024_19,stimuli/tones/silence.wav,2,38,noResp,NA,G_4,stimuli/Baron6dB/070303.wav,stimuli/Hopper/030102.wav,stimuli/Ringo/010101.wav,NA,1,silence,silence,G_4,1,0,0,1,0
F2024_19,stimuli/tones/silence.wav,1.25,39,noResp,NA,W_1,stimuli/Baron6dB/070200.wav,stimuli/Laker/020300.wav,stimuli/Laker/020301.wav,NA,1,silence,silence,W_1,1,0,0,1,0
F2024_19,stimuli/tones/FlatIEC-33dB.wav,1.25,40,noResp,NA,R_2,stimuli/Baron6dB/070101.wav,stimuli/Tiger/050200.wav,stimuli/Eagle/060303.wav,NA,0,-33dB,Flat,R_2,1,0,1,0,0
F2024_19,stimuli/tones/silence.wav,0.75,41,noResp,NA,R_1,stimuli/Baron6dB/070100.wav,stimuli/Laker/020302.wav,stimuli/Ringo/010200.wav,NA,1,silence,silence,R_1,1,0,0,1,0
F2024_19,stimuli/tones/silence.wav,0.75,42,noResp,NA,W_4,stimuli/Baron6dB/070203.wav,stimuli/Eagle/060100.wav,stimuli/Laker/020203.wav,NA,1,silence,silence,W_4,1,0,0,1,0
F2024_19,stimuli/tones/silence.wav,0.75,43,noResp,NA,R_3,stimuli/Baron6dB/070102.wav,stimuli/Eagle/060200.wav,stimuli/Arrow/040200.wav,NA,1,silence,silence,R_3,1,0,0,1,0
F2024_19,stimuli/tones/PercTri-27dB.wav,2,44,noResp,NA,G_2,stimuli/Baron6dB/070301.wav,stimuli/Charlie/000200.wav,stimuli/Tiger/050303.wav,NA,0,-27dB,PercTri,G_2,1,0,1,0,0
