participant,tone,tone_onset,loop.thisN,key_resp_5.keys,key_resp_5.rt,mouseClick_5.clicked_name,thisA,thisB,thisC,typePrompt,cor,snr,env,CRMcorrect,CRMhit,hit,miss,cr,fa
115,stimuli/tones/silence.wav,2,0,noResp,NA,R_2,stimuli/Baron6dB/070101.wav,stimuli/Hopper/030101.wav,stimuli/Hopper/030202.wav,NA,1,silence,silence,R_2,1,0,0,1,0
115,stimuli/tones/FlatIEC-24dB.wav,0.75,1,noResp,NA,G_4,stimuli/Baron6dB/070303.wav,stimuli/Tiger/050102.wav,stimuli/Ringo/010302.wav,NA,0,-24dB,Flat,G_4,1,0,1,0,0
115,stimuli/tones/PercTri-21dB.wav,0.75,2,space,1.36,W_2,stimuli/Baron6dB/070201.wav,stimuli/Tiger/050301.wav,stimuli/Hopper/030002.wav,NA,1,-21dB,PercTri,W_2,1,1,0,0,0
115,stimuli/tones/silence.wav,0.75,3,noResp,NA,B_3,stimuli/Baron6dB/070002.wav,stimuli/Arrow/040001.wav,stimuli/Tiger/050300.wav,NA,1,silence,silence,B_3,1,0,0,1,0
115,stimuli/tones/silence.wav,2,4,noResp,NA,B_2,stimuli/Baron6dB/070001.wav,stimuli/Ringo/010301.wav,stimuli/Charlie/000203.wav,NA,1,silence,silence,B_2,1,0,0,1,0
115,stimuli/tones/FlatIEC-24dB.wav,2,5,space,2.8159,B_4,stimuli/Baron6dB/070003.wav,stimuli/Tiger/050303.wav,stimuli/Ringo/010101.wav,NA,1,-24dB,Flat,B_4,1,1,0,0,0
115,stimuli/tones/PercTri-27dB.wav,1.25,6,space,1.8924,B_4,stimuli/Baron6dB/070203.wav,stimuli/Ringo/010102.wav,stimuli/Ringo/010202.wav,NA,1,-27dB,PercTri,W_4,0,1,0,0,0
115,stimuli/tones/FlatIEC-21dB.wav,2,7,space,2.7602,G_3,stimuli/Baron6dB/070302.wav,stimuli/Eagle/060102.wav,stimuli/Charlie/000102.wav,NA,1,-21dB,Flat,G_3,1,1,0,0,0
115,stimuli/tones/silence.wav,1.25,8,noResp,NA,R_3,stimuli/Baron6dB/070102.wav,stimuli/Charlie/000100.wav,stimuli/Hopper/030201.wav,NA,1,silence,silence,R_3,1,0,0,1,0
115,stimuli/tones/silence.wav,0.75,9,noResp,NA,B_1,stimuli/Baron6dB/070000.wav,stimuli/Tiger/050302.wav,stimuli/Arrow/040300.wav,NA,1,silence,silence,B_1,1,0,0,1,0
