participant,tone,tone_onset,loop.thisN,key_resp_5.keys,key_resp_5.rt,mouseClick_5.clicked_name,thisA,thisB,thisC,typePrompt,cor,snr,env,CRMcorrect,CRMhit,hit,miss,cr,fa
F2024_1,stimuli/tones/silence.wav,2,0,noResp,NA,G_4,stimuli/Baron6dB/070303.wav,stimuli/Tiger/050300.wav,stimuli/Tiger/050202.wav,NA,1,silence,silence,G_4,1,0,0,1,0
F2024_1,stimuli/tones/silence.wav,2,1,noResp,NA,W_2,stimuli/Baron6dB/070201.wav,stimuli/Ringo/010003.wav,stimuli/Eagle/060000.wav,NA,1,silence,silence,W_2,1,0,0,1,0
F2024_1,stimuli/tones/PercTri-24dB.wav,1.25,2,noResp,NA,B_1,stimuli/Baron6dB/070000.wav,stimuli/Hopper/030302.wav,stimuli/Eagle/060003.wav,NA,0,-24dB,PercTri,B_1,1,0,1,0,0
F2024_1,stimuli/tones/FlatIEC-27dB.wav,1.25,3,noResp,NA,G_2,stimuli/Baron6dB/070301.wav,stimuli/Charlie/000201.wav,stimuli/Charlie/000303.wav,NA,0,-27dB,Flat,G_2,1,0,1,0,0
F2024_1,stimuli/tones/silence.wav,2,4,noResp,NA,R_3,stimuli/Baron6dB/070102.wav,stimuli/Charlie/000302.wav,stimuli/Tiger/050003.wav,NA,1,silence,silence,R_3,1,0,0,1,0
F2024_1,stimuli/tones/silence.wav,1.25,5,noResp,NA,B_2,stimuli/Baron6dB/070001.wav,stimuli/Arrow/040002.wav,stimuli/Tiger/050001.wav,NA,1,silence,silence,B_2,1,0,0,1,0
F2024_1,stimuli/tones/silence.wav,2,6,noResp,NA,W_2,stimuli/Baron6dB/070101.wav,stimuli/Laker/020200.wav,stimuli/Tiger/050103.wav,NA,1,silence,silence,R_2,0,0,0,1,0
F2024_1,stimuli/tones/silence.wav,1.25,7,noResp,NA,B_3,stimuli/Baron6dB/070002.wav,stimuli/Tiger/050201.wav,stimuli/Ringo/010201.wav,NA,1,silence,silence,B_3,1,0,0,1,0
F2024_1,stimuli/tones/silence.wav,1.25,8,noResp,NA,G_1,stimuli/Baron6dB/070300.wav,stimuli/Charlie/000200.wav,stimuli/Eagle/060203.wav,NA,1,silence,silence,G_1,1,0,0,1,0
F2024_1,stimuli/tones/silence.wav,1.25,9,noResp,NA,W_3,stimuli/Baron6dB/070202.wav,stimuli/Ringo/010301.wav,stimuli/Laker/020302.wav,NA,1,silence,silence,W_3,1,0,0,1,0
F2024_1,stimuli/tones/silence.wav,0.75,10,noResp,NA,W_4,stimuli/Baron6dB/070203.wav,stimuli/Hopper/030101.wav,stimuli/Eagle/060302.wav,NA,1,silence,silence,W_4,1,0,0,1,0
F2024_1,stimuli/tones/PercTri-27dB.wav,1.25,11,noResp,NA,G_3,stimuli/Baron6dB/070302.wav,stimuli/Ringo/010001.wav,stimuli/Eagle/060102.wav,NA,0,-27dB,PercTri,G_3,1,0,1,0,0
F2024_1,stimuli/tones/FlatIEC-33dB.wav,2,12,space,3.6269,W_1,stimuli/Baron6dB/070200.wav,stimuli/Eagle/060200.wav,stimuli/Arrow/040001.wav,NA,1,-33dB,Flat,W_1,1,1,0,0,0
