participant,tone,tone_onset,loop.thisN,key_resp_5.keys,key_resp_5.rt,mouseClick_5.clicked_name,thisA,thisB,thisC,typePrompt,cor,snr,env,CRMcorrect,CRMhit,hit,miss,cr,fa
1,stimuli/tones/silence.wav,0.75,0,noResp,NA,B_2,stimuli/Baron6dB/070001.wav,stimuli/Eagle/060103.wav,stimuli/Tiger/050301.wav,NA,1,silence,silence,B_2,1,0,0,1,0
1,stimuli/tones/silence.wav,2,1,noResp,NA,B_4,stimuli/Baron6dB/070003.wav,stimuli/Charlie/000102.wav,stimuli/Laker/020001.wav,NA,1,silence,silence,B_4,1,0,0,1,0
1,stimuli/tones/silence.wav,0.75,2,noResp,NA,B_1,stimuli/Baron6dB/070000.wav,stimuli/Arrow/040203.wav,stimuli/Eagle/060202.wav,NA,1,silence,silence,B_1,1,0,0,1,0
1,stimuli/tones/FlatIEC-24dB.wav,1.25,3,noResp,NA,B_3,stimuli/Baron6dB/070002.wav,stimuli/Arrow/040002.wav,stimuli/Charlie/000300.wav,NA,0,-24dB,Flat,B_3,1,0,1,0,0
1,stimuli/tones/FlatIEC-21dB.wav,0.75,4,space,1.3981,W_2,stimuli/Baron6dB/070201.wav,stimuli/Charlie/000000.wav,stimuli/Arrow/040201.wav,NA,1,-21dB,Flat,W_2,1,1,0,0,0
1,stimuli/tones/PercTri-21dB.wav,1.25,5,space,1.9353,R_4,stimuli/Baron6dB/070103.wav,stimuli/Eagle/060101.wav,stimuli/Arrow/040303.wav,NA,1,-21dB,PercTri,R_4,1,1,0,0,0
1,stimuli/tones/PercTri-24dB.wav,2,6,noResp,NA,R_1,stimuli/Baron6dB/070100.wav,stimuli/Hopper/030301.wav,stimuli/Tiger/050300.wav,NA,0,-24dB,PercTri,R_1,1,0,1,0,0
1,stimuli/tones/FlatIEC-21dB.wav,2,7,space,2.7799,B_1,stimuli/Baron6dB/070300.wav,stimuli/Charlie/000303.wav,stimuli/Eagle/060000.wav,NA,1,-21dB,Flat,G_1,0,1,0,0,0
1,stimuli/tones/PercTri-33dB.wav,2,8,space,2.0496,R_3,stimuli/Baron6dB/070102.wav,stimuli/Ringo/010001.wav,stimuli/Laker/020101.wav,NA,1,-33dB,PercTri,R_3,1,1,0,0,0
1,stimuli/tones/silence.wav,1.25,9,space,1.0343,W_1,stimuli/Baron6dB/070200.wav,stimuli/Tiger/050100.wav,stimuli/Ringo/010200.wav,NA,0,silence,silence,W_1,1,0,0,0,1
1,stimuli/tones/silence.wav,2,10,noResp,NA,G_4,stimuli/Baron6dB/070303.wav,stimuli/Eagle/060001.wav,stimuli/Arrow/040002.wav,NA,1,silence,silence,G_4,1,0,0,1,0
1,stimuli/tones/silence.wav,1.25,11,noResp,NA,G_3,stimuli/Baron6dB/070302.wav,stimuli/Hopper/030103.wav,stimuli/Ringo/010301.wav,NA,1,silence,silence,G_3,1,0,0,1,0
1,stimuli/tones/silence.wav,2,12,noResp,NA,B_2,stimuli/Baron6dB/070301.wav,stimuli/Ringo/010003.wav,stimuli/Tiger/050201.wav,NA,1,silence,silence,G_2,0,0,0,1,0
1,stimuli/tones/FlatIEC-21dB.wav,2,13,space,2.5176,W_4,stimuli/Baron6dB/070203.wav,stimuli/Laker/020301.wav,stimuli/Hopper/030302.wav,NA,1,-21dB,Flat,W_4,1,1,0,0,0
1,stimuli/tones/FlatIEC-21dB.wav,0.75,14,noResp,NA,R_2,stimuli/Baron6dB/070101.wav,stimuli/Laker/020200.wav,stimuli/Hopper/030003.wav,NA,0,-21dB,Flat,R_2,1,0,1,0,0
1,stimuli/tones/PercTri-33dB.wav,0.75,15,space,1.1977,W_3,stimuli/Baron6dB/070202.wav,stimuli/Arrow/040103.wav,stimuli/Arrow/040102.wav,NA,1,-33dB,PercTri,W_3,1,1,0,0,0
1,stimuli/tones/silence.wav,0.75,16,noResp,NA,R_1,stimuli/Baron6dB/070300.wav,stimuli/Laker/020001.wav,stimuli/Eagle/060101.wav,NA,1,silence,silence,G_1,0,0,0,1,0
1,stimuli/tones/FlatIEC-21dB.wav,1.25,17,space,2.4481,B_1,stimuli/Baron6dB/070000.wav,stimuli/Ringo/010102.wav,stimuli/Tiger/050203.wav,NA,1,-21dB,Flat,B_1,1,1,0,0,0
1,stimuli/tones/FlatIEC-21dB.wav,1.25,18,space,1.8932,R_3,stimuli/Baron6dB/070102.wav,stimuli/Tiger/050200.wav,stimuli/Tiger/050100.wav,NA,1,-21dB,Flat,R_3,1,1,0,0,0
1,stimuli/tones/silence.wav,1.25,19,noResp,NA,R_1,stimuli/Baron6dB/070100.wav,stimuli/Laker/020201.wav,stimuli/Arrow/040003.wav,NA,1,silence,silence,R_1,1,0,0,1,0
1,stimuli/tones/silence.wav,0.75,20,noResp,NA,W_2,stimuli/Baron6dB/070201.wav,stimuli/Arrow/040001.wav,stimuli/Hopper/030103.wav,NA,1,silence,silence,W_2,1,0,0,1,0
1,stimuli/tones/silence.wav,0.75,21,space,1.7093,G_3,stimuli/Baron6dB/070302.wav,stimuli/Laker/020002.wav,stimuli/Hopper/030100.wav,NA,0,silence,silence,G_3,1,0,0,0,1
1,stimuli/tones/silence.wav,1.25,22,noResp,NA,R_2,stimuli/Baron6dB/070101.wav,stimuli/Ringo/010202.wav,stimuli/Arrow/040202.wav,NA,1,silence,silence,R_2,1,0,0,1,0
1,stimuli/tones/silence.wav,0.75,23,noResp,NA,W_4,stimuli/Baron6dB/070303.wav,stimuli/Tiger/050002.wav,stimuli/Hopper/030001.wav,NA,1,silence,silence,G_4,0,0,0,1,0
