participant,tone,tone_onset,loop.thisN,key_resp_5.keys,key_resp_5.rt,mouseClick_5.clicked_name,thisA,thisB,thisC,typePrompt,cor,snr,env,CRMcorrect,CRMhit,hit,miss,cr,fa
1,stimuli/tones/PercTri-24dB.wav,1.25,0,space,2.4889,W_2,stimuli/Baron6dB/070201.wav,stimuli/Tiger/050203.wav,stimuli/Eagle/060102.wav,NA,1,-24dB,PercTri,W_2,1,1,0,0,0
1,stimuli/tones/FlatIEC-24dB.wav,2,1,space,2.6573,B_1,stimuli/Baron6dB/070000.wav,stimuli/Hopper/030303.wav,stimuli/Arrow/040201.wav,NA,1,-24dB,Flat,B_1,1,1,0,0,0
1,stimuli/tones/silence.wav,2,2,noResp,NA,B_2,stimuli/Baron6dB/070001.wav,stimuli/Ringo/010000.wav,stimuli/Ringo/010303.wav,NA,1,silence,silence,B_2,1,0,0,1,0
1,stimuli/tones/PercTri-24dB.wav,1.25,3,space,1.815,G_2,stimuli/Baron6dB/070301.wav,stimuli/Arrow/040102.wav,stimuli/Ringo/010103.wav,NA,1,-24dB,PercTri,G_2,1,1,0,0,0
1,stimuli/tones/silence.wav,1.25,4,noResp,NA,G_1,stimuli/Baron6dB/070300.wav,stimuli/Ringo/010102.wav,stimuli/Ringo/010200.wav,NA,1,silence,silence,G_1,1,0,0,1,0
1,stimuli/tones/silence.wav,2,5,noResp,NA,R_2,stimuli/Baron6dB/070101.wav,stimuli/Eagle/060201.wav,stimuli/Laker/020301.wav,NA,1,silence,silence,R_2,1,0,0,1,0
1,stimuli/tones/FlatIEC-33dB.wav,1.25,6,noResp,NA,G_3,stimuli/Baron6dB/070302.wav,stimuli/Eagle/060003.wav,stimuli/Eagle/060002.wav,NA,0,-33dB,Flat,G_3,1,0,1,0,0
1,stimuli/tones/silence.wav,1.25,7,noResp,NA,B_3,stimuli/Baron6dB/070002.wav,stimuli/Tiger/050003.wav,stimuli/Charlie/000202.wav,NA,1,silence,silence,B_3,1,0,0,1,0
1,stimuli/tones/FlatIEC-24dB.wav,1.25,8,space,2.5796,W_3,stimuli/Baron6dB/070202.wav,stimuli/Charlie/000101.wav,stimuli/Laker/020003.wav,NA,1,-24dB,Flat,W_3,1,1,0,0,0
1,stimuli/tones/PercTri-30dB.wav,0.75,9,space,1.3897,W_4,stimuli/Baron6dB/070203.wav,stimuli/Hopper/030201.wav,stimuli/Eagle/060201.wav,NA,1,-30dB,PercTri,W_4,1,1,0,0,0
1,stimuli/tones/silence.wav,0.75,10,noResp,NA,R_3,stimuli/Baron6dB/070102.wav,stimuli/Eagle/060302.wav,stimuli/Arrow/040300.wav,NA,1,silence,silence,R_3,1,0,0,1,0
1,stimuli/tones/FlatIEC-30dB.wav,2,11,space,2.9104,G_4,stimuli/Baron6dB/070303.wav,stimuli/Eagle/060202.wav,stimuli/Eagle/060101.wav,NA,1,-30dB,Flat,G_4,1,1,0,0,0
1,stimuli/tones/silence.wav,2,12,noResp,NA,R_4,stimuli/Baron6dB/070103.wav,stimuli/Charlie/000001.wav,stimuli/Hopper/030202.wav,NA,1,silence,silence,R_4,1,0,0,1,0
1,stimuli/tones/FlatIEC-21dB.wav,0.75,13,space,1.6788,B_4,stimuli/Baron6dB/070003.wav,stimuli/Arrow/040203.wav,stimuli/Eagle/060000.wav,NA,1,-21dB,Flat,B_4,1,1,0,0,0
1,stimuli/tones/silence.wav,0.75,14,noResp,NA,W_1,stimuli/Baron6dB/070200.wav,stimuli/Ringo/010301.wav,stimuli/Hopper/030301.wav,NA,1,silence,silence,W_1,1,0,0,1,0
1,stimuli/tones/silence.wav,0.75,15,noResp,NA,B_1,stimuli/Baron6dB/070100.wav,stimuli/Tiger/050200.wav,stimuli/Laker/020000.wav,NA,1,silence,silence,R_1,0,0,0,1,0
