participant,tone,tone_onset,loop.thisN,key_resp_5.keys,key_resp_5.rt,mouseClick_5.clicked_name,thisA,thisB,thisC,typePrompt,cor,snr,env,CRMcorrect,CRMhit,hit,miss,cr,fa
10,stimuli/tones/FlatIEC-18dB.wav,1.25,0,noResp,NA,R_2,stimuli/Baron6dB/070101.wav,stimuli/Laker/020002.wav,stimuli/Tiger/050102.wav,NA,0,-18dB,Flat,R_2,1,0,1,0,0
10,stimuli/tones/silence.wav,1.25,1,noResp,NA,B_2,stimuli/Baron6dB/070201.wav,stimuli/Hopper/030300.wav,stimuli/Charlie/000000.wav,NA,1,silence,silence,W_2,0,0,0,1,0
10,stimuli/tones/silence.wav,1.25,2,noResp,NA,G_1,stimuli/Baron6dB/070300.wav,stimuli/Charlie/000303.wav,stimuli/Hopper/030000.wav,NA,1,silence,silence,G_1,1,0,0,1,0
10,stimuli/tones/silence.wav,2,3,space,0.966,R_4,stimuli/Baron6dB/070103.wav,stimuli/Charlie/000301.wav,stimuli/Hopper/030102.wav,NA,0,silence,silence,R_4,1,0,0,0,1
10,stimuli/tones/silence.wav,0.75,4,noResp,NA,B_2,stimuli/Baron6dB/070001.wav,stimuli/Charlie/000103.wav,stimuli/Hopper/030200.wav,NA,1,silence,silence,B_2,1,0,0,1,0
10,stimuli/tones/silence.wav,1.25,5,noResp,NA,B_3,stimuli/Baron6dB/070002.wav,stimuli/Laker/020000.wav,stimuli/Eagle/060000.wav,NA,1,silence,silence,B_3,1,0,0,1,0
10,stimuli/tones/PercTri-33dB.wav,1.25,6,noResp,NA,R_3,stimuli/Baron6dB/070102.wav,stimuli/Charlie/000000.wav,stimuli/Eagle/060102.wav,NA,0,-33dB,PercTri,R_3,1,0,1,0,0
10,stimuli/tones/PercTri-18dB.wav,1.25,7,noResp,NA,R_1,stimuli/Baron6dB/070100.wav,stimuli/Laker/020302.wav,stimuli/Charlie/000102.wav,NA,0,-18dB,PercTri,R_1,1,0,1,0,0
10,stimuli/tones/PercTri-18dB.wav,2,8,noResp,NA,G_3,stimuli/Baron6dB/070302.wav,stimuli/Laker/020202.wav,stimuli/Hopper/030002.wav,NA,0,-18dB,PercTri,G_3,1,0,1,0,0
10,stimuli/tones/silence.wav,2,9,noResp,NA,G_4,stimuli/Baron6dB/070303.wav,stimuli/Laker/020103.wav,stimuli/Ringo/010100.wav,NA,1,silence,silence,G_4,1,0,0,1,0
